journal,year,citation_count
Journal of AI,2021,50
Journal of Robotics,2020,30
Journal of Machine Learning,2019,40
Journal of Computer Science,2018,20
Journal of Data Science,2017,35
Journal of Natural Language Processing,2016,25
Journal of Computer Vision,2015,45
Journal of Neural Networks,2014,15
Journal of Big Data,2013,55
Journal of Cybersecurity,2012,10
Journal of Information Retrieval,2011,60
Journal of Cloud Computing,2010,5
Journal of Internet of Things,2009,70
Journal of Parallel Computing,2008,3
Journal of Quantum Computing,2007,80
Journal of High Performance Computing,2006,2
Journal of Distributed Systems,2005,90
Journal of Computer Networks,2004,1
Journal of Cryptography,2003,100
Journal of Embedded Systems,2002,4
Journal of Mobile Computing,2001,75
Journal of Multimedia,2000,6
Journal of Operating Systems,1999,65
Journal of Programming Languages,1998,7
Journal of Software Engineering,1997,85
Journal of Theoretical Computer Science,1996,8
Journal of Computer Architecture,1995,95
Journal of Computer Graphics,1994,9
Journal of Computer Security,1993,100
Journal of Computer Networks and Communications,1992,11
